19.00,[rc0035][rb0035],[lc0035][lb0035]	
19.10,[rc0036][rb0036],[lc0036][lb0036]
19.20,[rc0037][rb0037],[lc0037][lb0037]	
19.30,[rc0037][rb0037],[lc0037][lb0037]	
19.40,[rc0038][rb0038],[lc0038][lb0038]
19.50,[rc0039][rb0039],[lc0039][lb0039]	
19.60,[rc0039][rb0039],[lc0039][lb0039]	
19.70,[rc003A][rb003A],[lc003A][lb003A]	
19.80,[rc003B][rb003B],[lc003B][lb003B]
19.90,[rc003B][rb003B],[lc003B][lb003B]	
20.00,[rc003C][rb003C],[lc003C][lb003C]
